setting,Accuracy_Overall,F1_Overall,Precision_Overall,Recall_Overall,"Accuracy_intake, assessment, and diagnosis","F1_intake, assessment, and diagnosis","Precision_intake, assessment, and diagnosis","Recall_intake, assessment, and diagnosis",Accuracy_treatment planning,F1_treatment planning,Precision_treatment planning,Recall_treatment planning,Accuracy_counseling skills and interventions,F1_counseling skills and interventions,Precision_counseling skills and interventions,Recall_counseling skills and interventions,Accuracy_professional practice and ethics,F1_professional practice and ethics,Precision_professional practice and ethics,Recall_professional practice and ethics,Accuracy_core counseling attributes,F1_core counseling attributes,Precision_core counseling attributes,Recall_core counseling attributes,model_name
Llama-2-70b-chat-hf_zero-shot_sc_0,0.6055999999999999,0.5962152199030841,0.6112441111634644,0.6019088571177807,0.6469,0.6364849770525199,0.6444505100962559,0.6440955165834308,0.6255999999999999,0.6100104802890091,0.623427867702656,0.6184103341123572,0.5982999999999999,0.587399845578469,0.6088373709282103,0.5977372794300233,0.6024,0.5923771770176436,0.601207713060263,0.5965167067162743,0.4349999999999999,0.4190685118340156,0.4287233630489673,0.4462086049873657,Llama-2-70b-chat-hf
Llama3-Med42-70B_zero-shot_sc_0,0.6925999999999998,0.6865704489468506,0.6935231470917952,0.6912963900373893,0.716,0.7093834527638226,0.7147953438722933,0.713640298391817,0.7184,0.710279872766809,0.7209653310358424,0.7130661071943863,0.6677000000000001,0.6607504612501358,0.670682736809666,0.669885149248848,0.6657000000000001,0.6577495361155132,0.6676904243961692,0.6607939027012993,0.6007000000000001,0.553470304704685,0.5561102270053371,0.5733535686382972,Llama3-Med42-70B
Llama3-Med42-8B_zero-shot_sc_0,0.629,0.6218978702611148,0.6293410981021342,0.6261240871939592,0.6335999999999999,0.6238718474705732,0.6289582549936081,0.6289571373160662,0.6572000000000001,0.6508799146486427,0.6632799391582038,0.65616044743456,0.6335999999999999,0.6291052307635617,0.6373309356343648,0.6335955747592943,0.6071,0.594989271571604,0.6046844388667584,0.6010934806715684,0.6038,0.586041839545435,0.6204947420330605,0.5871095969936916,Llama3-Med42-8B
Llama3-OpenBioLLM-70B_zero-shot_sc_0,0.7252999999999998,0.7197901599217063,0.7246508922361575,0.7233417042235166,0.7398999999999998,0.7324731560554124,0.7366037857919479,0.737150233145084,0.7055,0.6966300200246179,0.7029055240574705,0.7011416220888702,0.7361,0.7300473022926457,0.7349458842203574,0.7345158458851142,0.7142000000000001,0.7076734693278206,0.7126752843174659,0.7118053875523829,0.6591,0.6388931315302304,0.6459025908004732,0.6493436961570699,Llama3-OpenBioLLM-70B
Meta-Llama-3-8B-Instruct_zero-shot_sc_0,0.6404,0.6351711887071307,0.6418742527723714,0.6397198068376916,0.6407,0.631672172690395,0.6372776965825867,0.637347300100308,0.6209,0.6132491600694249,0.6218618889701503,0.619099494455556,0.6713,0.6639053570196382,0.6767144684058541,0.6671673941337032,0.5953,0.5878264063539455,0.5930339311753174,0.5920686939252886,0.6154,0.5598782735289949,0.5992867104022714,0.5676257983859524,Meta-Llama-3-8B-Instruct
med42-70b_zero-shot_sc_0,0.6791999999999999,0.674660092214256,0.6815345717389875,0.6786593116390793,0.6845999999999998,0.6746384856149119,0.6863973884361887,0.679831073036962,0.6933000000000001,0.6870796255140619,0.6957891983611133,0.6899514800789536,0.6993000000000003,0.6930177121227876,0.701783180208625,0.6987270594942765,0.6571999999999999,0.6490481771013255,0.6616179875706026,0.6528405254983344,0.4772,0.4755310902231695,0.5143012249909691,0.5071587608597998,med42-70b
ClinicalCamel-70B_few-shot_None_3,0.655,0.6494596359268585,0.6549492544091333,0.6542080419957891,0.7033,0.6927664323317305,0.6987218898781904,0.6962874265518209,0.6451,0.6369394395507472,0.6464294615542826,0.6435013795873563,0.6362,0.629684073382082,0.6361786635493069,0.6332593146404598,0.6359,0.6254240245999472,0.631367036486561,0.6294296197004597,0.5615,0.5672491382032033,0.5851574486475266,0.5982249357906276,ClinicalCamel-70B
Llama-2-70b-chat-hf_few-shot_None_3,0.6214999999999999,0.6106041912063275,0.6264658037333095,0.6167440437343167,0.6413000000000001,0.6307555711478074,0.6432257093332382,0.6358097774526875,0.6351,0.6133232487031873,0.6263459984722608,0.6252086513273716,0.6143,0.60041402632236,0.6301101451052505,0.608001035322652,0.6122,0.6011575253408568,0.6117917636131448,0.6070863216456017,0.4285,0.4263842441590851,0.4644839087473337,0.4404305529953236,Llama-2-70b-chat-hf
Llama3-Med42-70B_few-shot_None_3,0.7003,0.6507676128325761,0.6589730233821168,0.6531715474113864,0.722,0.6476538861705755,0.6543594712339424,0.6497384515370679,0.7011,0.6907885927920683,0.7065243413831684,0.6932132303305043,0.7047,0.6318185262541299,0.644940952005423,0.6355783574437145,0.6922999999999999,0.6854093005622143,0.6931697565562495,0.6876003446133677,0.6123999999999999,0.5853721523816765,0.5989441686679873,0.5945996253121703,Llama3-Med42-70B
Llama3-Med42-8B_few-shot_None_3,0.6392000000000001,0.6334255457652099,0.6420455788053318,0.6370988560224655,0.6314,0.6250665281894644,0.631578898381383,0.63061734022239,0.6587,0.6499936555261879,0.6577546374269246,0.6546776086523799,0.6535,0.6475940899649502,0.6556798437606,0.6531372117482406,0.6145,0.6043183917774748,0.6147798971785877,0.6090662607202095,0.5702,0.5582683125411747,0.5830997916814621,0.5697097822888934,Llama3-Med42-8B
Llama3-OpenBioLLM-70B_few-shot_None_3,0.7249999999999999,0.7193265038604614,0.7247522679366146,0.7225333533994502,0.7341,0.7273073134753777,0.7325418154188845,0.7319498204860052,0.7377000000000001,0.7303306022909278,0.7393033468597991,0.7336855707139825,0.7297,0.7246292966090864,0.731264340740745,0.72790314924027,0.7045000000000003,0.6998967421193227,0.7049571409699005,0.7036442738274519,0.61,0.5852054042357345,0.598591541215795,0.5949872039946272,Llama3-OpenBioLLM-70B
Meta-Llama-3-70B-Instruct_few-shot_None_3,0.7339,0.7291934198654552,0.7338194030207543,0.7319188845658546,0.7439,0.7347034991126274,0.7387847669540258,0.7390164916381893,0.7190000000000001,0.7088745320007414,0.7190050723157375,0.713051721103056,0.741,0.734368429906083,0.742339676297695,0.7409968706212294,0.6918999999999998,0.6839550380260728,0.6892816321207625,0.6877232296848463,0.6975000000000002,0.6814983527700147,0.6907270934360943,0.7148244588438217,Meta-Llama-3-70B-Instruct
Meta-Llama-3-8B-Instruct_few-shot_None_3,0.6507999999999999,0.6422228539213417,0.6484077301998354,0.6467467196861724,0.6342999999999999,0.5917976411659339,0.5978442527614924,0.5941664558222112,0.6478999999999999,0.6401275711174742,0.6500476029716586,0.6449329908472429,0.6624000000000001,0.655175551806007,0.6615535312612151,0.6607700767894644,0.6189999999999999,0.6103086586948577,0.615898904989031,0.6168424305538456,0.6607999999999999,0.6288580235703175,0.6684658567423881,0.62860290705307,Meta-Llama-3-8B-Instruct
med42-70b_few-shot_None_3,0.5765,0.4984764050162822,0.555975169334531,0.4595821566458482,0.6303,0.5210094382828205,0.551775253995172,0.5023317873816928,0.5075999999999999,0.4553648296446051,0.5370318462733193,0.4036026400339155,0.5408,0.4786493422482143,0.5458197396943258,0.4333336358558025,0.5574,0.4857965196663514,0.549298621846632,0.4456563871331886,0.4674000000000001,0.3409497737749165,0.4410151731204172,0.2825806562674599,med42-70b
ClinicalCamel-70B_few-shot_sc_3,0.6925999999999999,0.6865914202331669,0.6926333662667074,0.6910634328703772,0.7250999999999999,0.7160710145983501,0.7204958907644309,0.7195082732252895,0.6870999999999999,0.6769834378516996,0.687886439375088,0.6851764288739486,0.6845,0.6783215879396803,0.6872518095180249,0.683040438824819,0.6958,0.6893253929357829,0.6964620333340105,0.6926213631924353,0.5663,0.5690705868266916,0.6099054605465793,0.6331816271987407,ClinicalCamel-70B
ClinicalCamel-70B_few-shot-cot_None_3,0.5143,0.4577749212062305,0.5083811313889703,0.4602016227229286,0.5279,0.504156298180414,0.5665570822360423,0.5040835085418379,0.4742999999999998,0.4211968728983863,0.4822665810503689,0.4223724501175572,0.5051000000000001,0.4455287995200596,0.4902383939288055,0.451553013977855,0.5307999999999999,0.4502528418099203,0.4987852630545475,0.4543629957400819,0.4423,0.4492497379957389,0.4954889767614395,0.4998778553134549,ClinicalCamel-70B
Llama3-Med42-70B_few-shot-cot_None_3,0.6779000000000001,0.6715141846080865,0.6774357953910074,0.6766063477002962,0.6864999999999998,0.6789979303533029,0.6870663509236751,0.6833690013409653,0.6722,0.6656585052219612,0.6738240592089351,0.6693017060070484,0.6988000000000001,0.6910712232933731,0.6946754698335168,0.6956751153598681,0.6431,0.6339144618266965,0.6401991940629912,0.6394193110292363,0.6924000000000001,0.6887029047645634,0.7131989908758792,0.7368783099908249,Llama3-Med42-70B
Llama3-Med42-8B_few-shot-cot_None_3,0.5699,0.5637139433851991,0.576955548967587,0.5710153651665549,0.5770000000000001,0.5674543095926564,0.585648268945025,0.5735173988623344,0.5367999999999999,0.53341783123298,0.5503857882648306,0.5362126192343561,0.5822999999999999,0.5761858984832012,0.5868959354251548,0.5826225517707392,0.5722,0.562674595172973,0.5764092064878292,0.5739508443715704,0.6563,0.6299690344144449,0.6621572043749857,0.6721178174843204,Llama3-Med42-8B
Llama3-OpenBioLLM-70B_few-shot-cot_None_3,0.6863999999999999,0.6811860754512861,0.691745080559516,0.6876010915106376,0.6931,0.684702517847156,0.7003828321516862,0.6886027344281412,0.6897000000000001,0.6845847745289511,0.7000225072455933,0.6893871101302267,0.6677000000000001,0.6613519263580414,0.6726883363556475,0.6682473453272714,0.6943,0.6887582437575442,0.6970126732424587,0.6954634649078298,0.6502000000000001,0.641444663217727,0.6504214949411744,0.6861859556028258,Llama3-OpenBioLLM-70B
